Source,Target
MississippiFredMcDowell-61Highway,Eminem-Stan
MississippiFredMcDowell-61Highway,PorterWagoner-TheRubberRoom
MississippiFredMcDowell-61Highway,BenHarper-MoreThanSorry
MississippiFredMcDowell-61Highway,ArthurRussell-HomeAwayFromHome
MississippiFredMcDowell-61Highway,TheOnlyOnes-SomeoneWhoCares
MississippiFredMcDowell-61Highway,RascalFlatts-Holes
MississippiFredMcDowell-61Highway,Goldspot-TimeBomb
MississippiFredMcDowell-61Highway,AnimalCollective-College
MississippiFredMcDowell-61Highway,MobbDeep-TheStartOfYourEnding(41stSide)
MississippiFredMcDowell-61Highway,LeAnnRimes-WhatICannotChange
MississippiFredMcDowell-61Highway,StephenSondheim-OpeningTitle
MississippiFredMcDowell-61Highway,TheEverybodyfields-LonelyAnywhere
MississippiFredMcDowell-61Highway,TheEverybodyfields-BeMiner
MississippiFredMcDowell-61Highway,JohnBarry-TheDeathOfTimmons
MississippiFredMcDowell-61Highway,MississippiSheiks-I'veGotBloodInMyEyesForYou
MississippiFredMcDowell-61Highway,Afi-SilverAndCold
MississippiFredMcDowell-61Highway,LosLobos-PhoneCall
MississippiFredMcDowell-61Highway,StoryOne-ComingUp
MississippiFredMcDowell-61Highway,IanGillan-Gethsemane(IOnlyWantToSay)
MississippiFredMcDowell-61Highway,LilyHolbrook-WelcomeToTheSlaughterhouse
MississippiFredMcDowell-61Highway,Shinedown-WhatAShame
MississippiFredMcDowell-61Highway,Innerpartysystem-WhatWeWillNeverKnow
MississippiFredMcDowell-61Highway,ChiddyBang-NothingOnWe
MississippiFredMcDowell-61Highway,SageFrancis-TheBestOfTimes
MississippiFredMcDowell-61Highway,Leadbelly-WhereDidYouSleepLastNight?
MississippiFredMcDowell-61Highway,Jazztronik-Phoenix
MississippiFredMcDowell-61Highway,MattElliott-TheDogBeneathTheSkin
MississippiFredMcDowell-61Highway,Tyler-TheCreator
MississippiFredMcDowell-61Highway,ArcticMonkeys-TheHellcatSpangledShalalala
MississippiFredMcDowell-61Highway,ViktorVaughn-Lickupon
MississippiFredMcDowell-61Highway,ThirdDay-MountainOfGod
MississippiFredMcDowell-61Highway,MatthewWest-TheMotions
MississippiFredMcDowell-61Highway,AngeloBadalamenti-MulhollandDrive
MississippiFredMcDowell-61Highway,AngeloBadalamenti-Diner
MississippiFredMcDowell-61Highway,JunkieXL-EvenInThisMoment
MississippiFredMcDowell-61Highway,DoloresO'Riordan-AveMaria
MississippiFredMcDowell-61Highway,Wu-TangClan-DuckSeazon
MississippiFredMcDowell-61Highway,CellaDwellas-MedinaStyle
MississippiFredMcDowell-61Highway,HarryGregson-Williams-ANarniaLullaby
MississippiFredMcDowell-61Highway,Flobots-Combat
MississippiFredMcDowell-61Highway,AntiPopConsortium-FluorescentBlack
MississippiFredMcDowell-61Highway,Doom-Ballskin
MississippiFredMcDowell-61Highway,SisterRosettaTharpe-DownByTheRiverside
MississippiFredMcDowell-61Highway,MastaAce-Acknowledge
MississippiFredMcDowell-61Highway,RootsManuva-EvilRabbit
MississippiFredMcDowell-61Highway,MarilynManson-TheSuckForYourSolution
MississippiFredMcDowell-61Highway,DavidByrne-Inexorable
MississippiFredMcDowell-61Highway,SkylarGrey-Invisible
MississippiFredMcDowell-61Highway,SacredSpirit-Dawa
MississippiFredMcDowell-61Highway,TheBachelors-Diane
MississippiFredMcDowell-61Highway,SamanthaSang-Emotion
MississippiFredMcDowell-61Highway,BobBrookmeyer-AFelicidade
MississippiFredMcDowell-61Highway,TheRoyalPhilharmonicOrchestra-HookedOnRomance
MississippiFredMcDowell-61Highway,JohnTesh-HalcyonDays
MississippiFredMcDowell-61Highway,GaleGarnett-We'llSingInTheSunshine
MississippiFredMcDowell-61Highway,JimReeves-DistantDrums
MississippiFredMcDowell-61Highway,TheOut-Islanders-MoonMist
MississippiFredMcDowell-61Highway,Interference-Gold
MississippiFredMcDowell-61Highway,KarlMaddison-FriendshipHighway
GillianWelch-OneMonkey,HowardShore-CirithUngol
GillianWelch-OneMonkey,LorettaLynn-Women'sPrison
GillianWelch-OneMonkey,JorgeBen-CassiusMarcellusClay
GillianWelch-OneMonkey,TommyMcCook-TheSaint
GillianWelch-OneMonkey,ShannonNoll-NewBeginning
GillianWelch-OneMonkey,BuffySainte-Marie-EyesOfAmber
GillianWelch-OneMonkey,NickelCreek-BestOfLuck
GillianWelch-OneMonkey,JeffreyFoucault-CrossOfFlowers
GillianWelch-OneMonkey,Eminem-Stan
GillianWelch-OneMonkey,PorterWagoner-TheRubberRoom
GillianWelch-OneMonkey,BenHarper-MoreThanSorry
GillianWelch-OneMonkey,ArthurRussell-HomeAwayFromHome
GillianWelch-OneMonkey,TheOnlyOnes-SomeoneWhoCares
GillianWelch-OneMonkey,RascalFlatts-Holes
GillianWelch-OneMonkey,Goldspot-TimeBomb
GillianWelch-OneMonkey,AnimalCollective-College
GillianWelch-OneMonkey,MobbDeep-TheStartOfYourEnding(41stSide)
GillianWelch-OneMonkey,LeAnnRimes-WhatICannotChange
GillianWelch-OneMonkey,StephenSondheim-OpeningTitle
GillianWelch-OneMonkey,TheEverybodyfields-LonelyAnywhere
GillianWelch-OneMonkey,TheEverybodyfields-BeMiner
GillianWelch-OneMonkey,ThePriests-PanisAngelicus
GillianWelch-OneMonkey,BlindLemonJefferson-SeeThatMyGraveIsKeptClean
GillianWelch-OneMonkey,SisterRosettaTharpe-RockMe
GillianWelch-OneMonkey,JohnBarry-TheDeathOfTimmons
GillianWelch-OneMonkey,ThePriests-Benedictus
GillianWelch-OneMonkey,MississippiSheiks-I'veGotBloodInMyEyesForYou
GillianWelch-OneMonkey,HoratioLeeJenkins-DrunkerThanSatan
GillianWelch-OneMonkey,Afi-SilverAndCold
GillianWelch-OneMonkey,LosLobos-PhoneCall
GillianWelch-OneMonkey,StoryOne-ComingUp
GillianWelch-OneMonkey,IanGillan-Gethsemane(IOnlyWantToSay)
GillianWelch-OneMonkey,LilyHolbrook-WelcomeToTheSlaughterhouse
GillianWelch-OneMonkey,Shinedown-WhatAShame
GillianWelch-OneMonkey,Innerpartysystem-WhatWeWillNeverKnow
GillianWelch-OneMonkey,ChiddyBang-NothingOnWe
GillianWelch-OneMonkey,SageFrancis-TheBestOfTimes
GillianWelch-OneMonkey,KarlJenkins-Charge!
GillianWelch-OneMonkey,Leadbelly-WhereDidYouSleepLastNight?
GillianWelch-OneMonkey,Jazztronik-Phoenix
GillianWelch-OneMonkey,MattElliott-TheDogBeneathTheSkin
GillianWelch-OneMonkey,Tyler-TheCreator
GillianWelch-OneMonkey,ArcticMonkeys-TheHellcatSpangledShalalala
GillianWelch-OneMonkey,ViktorVaughn-Lickupon
GillianWelch-OneMonkey,ThirdDay-MountainOfGod
GillianWelch-OneMonkey,MatthewWest-TheMotions
GillianWelch-OneMonkey,AngeloBadalamenti-MulhollandDrive
GillianWelch-OneMonkey,AngeloBadalamenti-Diner
GillianWelch-OneMonkey,JunkieXL-EvenInThisMoment
GillianWelch-OneMonkey,DoloresO'Riordan-AveMaria
GillianWelch-OneMonkey,Wu-TangClan-DuckSeazon
GillianWelch-OneMonkey,CellaDwellas-MedinaStyle
GillianWelch-OneMonkey,HarryGregson-Williams-ANarniaLullaby
GillianWelch-OneMonkey,Flobots-Combat
GillianWelch-OneMonkey,AntiPopConsortium-FluorescentBlack
GillianWelch-OneMonkey,Doom-Ballskin
GillianWelch-OneMonkey,SisterRosettaTharpe-DownByTheRiverside
GillianWelch-OneMonkey,MastaAce-Acknowledge
GillianWelch-OneMonkey,RootsManuva-EvilRabbit
GillianWelch-OneMonkey,MarilynManson-TheSuckForYourSolution
GillianWelch-OneMonkey,DavidByrne-Inexorable
GillianWelch-OneMonkey,SkylarGrey-Invisible
GillianWelch-OneMonkey,BennyMardones-IntoTheNight
GillianWelch-OneMonkey,KarlaBonoff-SomeoneToLayDownBesideMe
GillianWelch-OneMonkey,JohnTesh-HalcyonDays
GillianWelch-OneMonkey,Player-BabyComeBack
GillianWelch-OneMonkey,AlbertCummings-FirstDay
GillianWelch-OneMonkey,RogueWave-Sightlines
GillianWelch-OneMonkey,KarlMaddison-FriendshipHighway
HowardShore-CirithUngol,JorgeBen-CassiusMarcellusClay
HowardShore-CirithUngol,ShannonNoll-NewBeginning
HowardShore-CirithUngol,BuffySainte-Marie-EyesOfAmber
HowardShore-CirithUngol,NickelCreek-BestOfLuck
HowardShore-CirithUngol,JeffreyFoucault-CrossOfFlowers
HowardShore-CirithUngol,Eminem-Stan
HowardShore-CirithUngol,PorterWagoner-TheRubberRoom
HowardShore-CirithUngol,BenHarper-MoreThanSorry
HowardShore-CirithUngol,ArthurRussell-HomeAwayFromHome
HowardShore-CirithUngol,TheOnlyOnes-SomeoneWhoCares
HowardShore-CirithUngol,RascalFlatts-Holes
HowardShore-CirithUngol,Goldspot-TimeBomb
HowardShore-CirithUngol,AnimalCollective-College
HowardShore-CirithUngol,MobbDeep-TheStartOfYourEnding(41stSide)
HowardShore-CirithUngol,LeAnnRimes-WhatICannotChange
HowardShore-CirithUngol,StephenSondheim-OpeningTitle
HowardShore-CirithUngol,TheEverybodyfields-LonelyAnywhere
HowardShore-CirithUngol,TheEverybodyfields-BeMiner
HowardShore-CirithUngol,BlindLemonJefferson-SeeThatMyGraveIsKeptClean
HowardShore-CirithUngol,JohnBarry-TheDeathOfTimmons
HowardShore-CirithUngol,ThePriests-Benedictus
HowardShore-CirithUngol,MississippiSheiks-I'veGotBloodInMyEyesForYou
HowardShore-CirithUngol,HoratioLeeJenkins-DrunkerThanSatan
HowardShore-CirithUngol,Afi-SilverAndCold
HowardShore-CirithUngol,LosLobos-PhoneCall
HowardShore-CirithUngol,StoryOne-ComingUp
HowardShore-CirithUngol,IanGillan-Gethsemane(IOnlyWantToSay)
HowardShore-CirithUngol,LilyHolbrook-WelcomeToTheSlaughterhouse
HowardShore-CirithUngol,Shinedown-WhatAShame
HowardShore-CirithUngol,Innerpartysystem-WhatWeWillNeverKnow
HowardShore-CirithUngol,ChiddyBang-NothingOnWe
HowardShore-CirithUngol,SageFrancis-TheBestOfTimes
HowardShore-CirithUngol,Leadbelly-WhereDidYouSleepLastNight?
HowardShore-CirithUngol,Jazztronik-Phoenix
HowardShore-CirithUngol,MattElliott-TheDogBeneathTheSkin
HowardShore-CirithUngol,Tyler-TheCreator
HowardShore-CirithUngol,ArcticMonkeys-TheHellcatSpangledShalalala
HowardShore-CirithUngol,ViktorVaughn-Lickupon
HowardShore-CirithUngol,ThirdDay-MountainOfGod
HowardShore-CirithUngol,MatthewWest-TheMotions
HowardShore-CirithUngol,AngeloBadalamenti-MulhollandDrive
HowardShore-CirithUngol,AngeloBadalamenti-Diner
HowardShore-CirithUngol,JunkieXL-EvenInThisMoment
HowardShore-CirithUngol,DoloresO'Riordan-AveMaria
HowardShore-CirithUngol,Wu-TangClan-DuckSeazon
HowardShore-CirithUngol,CellaDwellas-MedinaStyle
HowardShore-CirithUngol,HarryGregson-Williams-ANarniaLullaby
HowardShore-CirithUngol,Flobots-Combat
HowardShore-CirithUngol,AntiPopConsortium-FluorescentBlack
HowardShore-CirithUngol,Doom-Ballskin
HowardShore-CirithUngol,SisterRosettaTharpe-DownByTheRiverside
HowardShore-CirithUngol,MastaAce-Acknowledge
HowardShore-CirithUngol,RootsManuva-EvilRabbit
HowardShore-CirithUngol,MarilynManson-TheSuckForYourSolution
HowardShore-CirithUngol,DavidByrne-Inexorable
HowardShore-CirithUngol,SkylarGrey-Invisible
LorettaLynn-Women'sPrison,TommyMcCook-TheSaint
LorettaLynn-Women'sPrison,ShannonNoll-NewBeginning
LorettaLynn-Women'sPrison,NickelCreek-BestOfLuck
LorettaLynn-Women'sPrison,Eminem-Stan
LorettaLynn-Women'sPrison,PorterWagoner-TheRubberRoom
LorettaLynn-Women'sPrison,BenHarper-MoreThanSorry
LorettaLynn-Women'sPrison,TheOnlyOnes-SomeoneWhoCares
LorettaLynn-Women'sPrison,RascalFlatts-Holes
LorettaLynn-Women'sPrison,Goldspot-TimeBomb
LorettaLynn-Women'sPrison,AnimalCollective-College
LorettaLynn-Women'sPrison,MobbDeep-TheStartOfYourEnding(41stSide)
LorettaLynn-Women'sPrison,LeAnnRimes-WhatICannotChange
LorettaLynn-Women'sPrison,StephenSondheim-OpeningTitle
LorettaLynn-Women'sPrison,TheEverybodyfields-LonelyAnywhere
LorettaLynn-Women'sPrison,TheEverybodyfields-BeMiner
LorettaLynn-Women'sPrison,ThePriests-PanisAngelicus
LorettaLynn-Women'sPrison,BlindLemonJefferson-SeeThatMyGraveIsKeptClean
LorettaLynn-Women'sPrison,SisterRosettaTharpe-RockMe
LorettaLynn-Women'sPrison,ThePriests-Benedictus
LorettaLynn-Women'sPrison,HoratioLeeJenkins-DrunkerThanSatan
LorettaLynn-Women'sPrison,Afi-SilverAndCold
LorettaLynn-Women'sPrison,LosLobos-PhoneCall
LorettaLynn-Women'sPrison,StoryOne-ComingUp
LorettaLynn-Women'sPrison,IanGillan-Gethsemane(IOnlyWantToSay)
LorettaLynn-Women'sPrison,LilyHolbrook-WelcomeToTheSlaughterhouse
LorettaLynn-Women'sPrison,Innerpartysystem-WhatWeWillNeverKnow
LorettaLynn-Women'sPrison,SageFrancis-TheBestOfTimes
LorettaLynn-Women'sPrison,KarlJenkins-Charge!
LorettaLynn-Women'sPrison,Leadbelly-WhereDidYouSleepLastNight?
LorettaLynn-Women'sPrison,Jazztronik-Phoenix
LorettaLynn-Women'sPrison,MattElliott-TheDogBeneathTheSkin
LorettaLynn-Women'sPrison,ArcticMonkeys-TheHellcatSpangledShalalala
LorettaLynn-Women'sPrison,ThirdDay-MountainOfGod
LorettaLynn-Women'sPrison,MatthewWest-TheMotions
LorettaLynn-Women'sPrison,AngeloBadalamenti-MulhollandDrive
LorettaLynn-Women'sPrison,AngeloBadalamenti-Diner
LorettaLynn-Women'sPrison,JunkieXL-EvenInThisMoment
LorettaLynn-Women'sPrison,DoloresO'Riordan-AveMaria
LorettaLynn-Women'sPrison,HarryGregson-Williams-ANarniaLullaby
LorettaLynn-Women'sPrison,AntiPopConsortium-FluorescentBlack
LorettaLynn-Women'sPrison,SisterRosettaTharpe-DownByTheRiverside
LorettaLynn-Women'sPrison,RootsManuva-EvilRabbit
LorettaLynn-Women'sPrison,DavidByrne-Inexorable
LorettaLynn-Women'sPrison,SkylarGrey-Invisible
JorgeBen-CassiusMarcellusClay,ShannonNoll-NewBeginning
JorgeBen-CassiusMarcellusClay,BuffySainte-Marie-EyesOfAmber
JorgeBen-CassiusMarcellusClay,NickelCreek-BestOfLuck
JorgeBen-CassiusMarcellusClay,JeffreyFoucault-CrossOfFlowers
JorgeBen-CassiusMarcellusClay,Eminem-Stan
JorgeBen-CassiusMarcellusClay,PorterWagoner-TheRubberRoom
JorgeBen-CassiusMarcellusClay,BenHarper-MoreThanSorry
JorgeBen-CassiusMarcellusClay,ArthurRussell-HomeAwayFromHome
JorgeBen-CassiusMarcellusClay,TheOnlyOnes-SomeoneWhoCares
JorgeBen-CassiusMarcellusClay,RascalFlatts-Holes
JorgeBen-CassiusMarcellusClay,Goldspot-TimeBomb
JorgeBen-CassiusMarcellusClay,AnimalCollective-College
JorgeBen-CassiusMarcellusClay,MobbDeep-TheStartOfYourEnding(41stSide)
JorgeBen-CassiusMarcellusClay,LeAnnRimes-WhatICannotChange
JorgeBen-CassiusMarcellusClay,StephenSondheim-OpeningTitle
JorgeBen-CassiusMarcellusClay,TheEverybodyfields-LonelyAnywhere
JorgeBen-CassiusMarcellusClay,TheEverybodyfields-BeMiner
JorgeBen-CassiusMarcellusClay,BlindLemonJefferson-SeeThatMyGraveIsKeptClean
JorgeBen-CassiusMarcellusClay,JohnBarry-TheDeathOfTimmons
JorgeBen-CassiusMarcellusClay,ThePriests-Benedictus
JorgeBen-CassiusMarcellusClay,MississippiSheiks-I'veGotBloodInMyEyesForYou
JorgeBen-CassiusMarcellusClay,Afi-SilverAndCold
JorgeBen-CassiusMarcellusClay,LosLobos-PhoneCall
JorgeBen-CassiusMarcellusClay,StoryOne-ComingUp
JorgeBen-CassiusMarcellusClay,IanGillan-Gethsemane(IOnlyWantToSay)
JorgeBen-CassiusMarcellusClay,LilyHolbrook-WelcomeToTheSlaughterhouse
JorgeBen-CassiusMarcellusClay,Shinedown-WhatAShame
JorgeBen-CassiusMarcellusClay,Innerpartysystem-WhatWeWillNeverKnow
JorgeBen-CassiusMarcellusClay,ChiddyBang-NothingOnWe
JorgeBen-CassiusMarcellusClay,SageFrancis-TheBestOfTimes
JorgeBen-CassiusMarcellusClay,Leadbelly-WhereDidYouSleepLastNight?
JorgeBen-CassiusMarcellusClay,Jazztronik-Phoenix
JorgeBen-CassiusMarcellusClay,MattElliott-TheDogBeneathTheSkin
JorgeBen-CassiusMarcellusClay,Tyler-TheCreator
JorgeBen-CassiusMarcellusClay,ArcticMonkeys-TheHellcatSpangledShalalala
JorgeBen-CassiusMarcellusClay,ViktorVaughn-Lickupon
JorgeBen-CassiusMarcellusClay,ThirdDay-MountainOfGod
JorgeBen-CassiusMarcellusClay,MatthewWest-TheMotions
JorgeBen-CassiusMarcellusClay,AngeloBadalamenti-MulhollandDrive
JorgeBen-CassiusMarcellusClay,AngeloBadalamenti-Diner
JorgeBen-CassiusMarcellusClay,JunkieXL-EvenInThisMoment
JorgeBen-CassiusMarcellusClay,DoloresO'Riordan-AveMaria
JorgeBen-CassiusMarcellusClay,Wu-TangClan-DuckSeazon
JorgeBen-CassiusMarcellusClay,CellaDwellas-MedinaStyle
JorgeBen-CassiusMarcellusClay,HarryGregson-Williams-ANarniaLullaby
JorgeBen-CassiusMarcellusClay,Flobots-Combat
JorgeBen-CassiusMarcellusClay,AntiPopConsortium-FluorescentBlack
JorgeBen-CassiusMarcellusClay,Doom-Ballskin
JorgeBen-CassiusMarcellusClay,SisterRosettaTharpe-DownByTheRiverside
JorgeBen-CassiusMarcellusClay,MastaAce-Acknowledge
JorgeBen-CassiusMarcellusClay,RootsManuva-EvilRabbit
JorgeBen-CassiusMarcellusClay,MarilynManson-TheSuckForYourSolution
JorgeBen-CassiusMarcellusClay,DavidByrne-Inexorable
JorgeBen-CassiusMarcellusClay,SkylarGrey-Invisible
JorgeBen-CassiusMarcellusClay,SacredSpirit-Dawa
JorgeBen-CassiusMarcellusClay,TheBachelors-Diane
JorgeBen-CassiusMarcellusClay,BobBrookmeyer-AFelicidade
JorgeBen-CassiusMarcellusClay,TheRoyalPhilharmonicOrchestra-HookedOnRomance
JorgeBen-CassiusMarcellusClay,JohnTesh-HalcyonDays
JorgeBen-CassiusMarcellusClay,GaleGarnett-We'llSingInTheSunshine
JorgeBen-CassiusMarcellusClay,JimReeves-DistantDrums
JorgeBen-CassiusMarcellusClay,KathrynWilliams-White
JorgeBen-CassiusMarcellusClay,RogueWave-Sightlines
JorgeBen-CassiusMarcellusClay,KarlMaddison-FriendshipHighway
TommyMcCook-TheSaint,ShannonNoll-NewBeginning
TommyMcCook-TheSaint,NickelCreek-BestOfLuck
TommyMcCook-TheSaint,Eminem-Stan
TommyMcCook-TheSaint,PorterWagoner-TheRubberRoom
TommyMcCook-TheSaint,BenHarper-MoreThanSorry
TommyMcCook-TheSaint,TheOnlyOnes-SomeoneWhoCares
TommyMcCook-TheSaint,RascalFlatts-Holes
TommyMcCook-TheSaint,Goldspot-TimeBomb
TommyMcCook-TheSaint,MobbDeep-TheStartOfYourEnding(41stSide)
TommyMcCook-TheSaint,LeAnnRimes-WhatICannotChange
TommyMcCook-TheSaint,StephenSondheim-OpeningTitle
TommyMcCook-TheSaint,TheEverybodyfields-LonelyAnywhere
TommyMcCook-TheSaint,TheEverybodyfields-BeMiner
TommyMcCook-TheSaint,ThePriests-PanisAngelicus
TommyMcCook-TheSaint,BlindLemonJefferson-SeeThatMyGraveIsKeptClean
TommyMcCook-TheSaint,SisterRosettaTharpe-RockMe
TommyMcCook-TheSaint,ThePriests-Benedictus
TommyMcCook-TheSaint,HoratioLeeJenkins-DrunkerThanSatan
TommyMcCook-TheSaint,Afi-SilverAndCold
TommyMcCook-TheSaint,LosLobos-PhoneCall
TommyMcCook-TheSaint,IanGillan-Gethsemane(IOnlyWantToSay)
TommyMcCook-TheSaint,Innerpartysystem-WhatWeWillNeverKnow
TommyMcCook-TheSaint,SageFrancis-TheBestOfTimes
TommyMcCook-TheSaint,KarlJenkins-Charge!
TommyMcCook-TheSaint,Jazztronik-Phoenix
TommyMcCook-TheSaint,MattElliott-TheDogBeneathTheSkin
TommyMcCook-TheSaint,ArcticMonkeys-TheHellcatSpangledShalalala
TommyMcCook-TheSaint,ThirdDay-MountainOfGod
TommyMcCook-TheSaint,MatthewWest-TheMotions
TommyMcCook-TheSaint,AngeloBadalamenti-Diner
TommyMcCook-TheSaint,DoloresO'Riordan-AveMaria
TommyMcCook-TheSaint,HarryGregson-Williams-ANarniaLullaby
TommyMcCook-TheSaint,AntiPopConsortium-FluorescentBlack
TommyMcCook-TheSaint,SisterRosettaTharpe-DownByTheRiverside
TommyMcCook-TheSaint,RootsManuva-EvilRabbit
TommyMcCook-TheSaint,DavidByrne-Inexorable
TommyMcCook-TheSaint,SkylarGrey-Invisible
ShannonNoll-NewBeginning,BuffySainte-Marie-EyesOfAmber
ShannonNoll-NewBeginning,NickelCreek-BestOfLuck
ShannonNoll-NewBeginning,JeffreyFoucault-CrossOfFlowers
ShannonNoll-NewBeginning,Eminem-Stan
ShannonNoll-NewBeginning,PorterWagoner-TheRubberRoom
ShannonNoll-NewBeginning,BenHarper-MoreThanSorry
ShannonNoll-NewBeginning,ArthurRussell-HomeAwayFromHome
ShannonNoll-NewBeginning,TheOnlyOnes-SomeoneWhoCares
ShannonNoll-NewBeginning,RascalFlatts-Holes
ShannonNoll-NewBeginning,Goldspot-TimeBomb
ShannonNoll-NewBeginning,AnimalCollective-College
ShannonNoll-NewBeginning,MobbDeep-TheStartOfYourEnding(41stSide)
ShannonNoll-NewBeginning,LeAnnRimes-WhatICannotChange
ShannonNoll-NewBeginning,StephenSondheim-OpeningTitle
ShannonNoll-NewBeginning,TheEverybodyfields-LonelyAnywhere
ShannonNoll-NewBeginning,TheEverybodyfields-BeMiner
ShannonNoll-NewBeginning,ThePriests-PanisAngelicus
ShannonNoll-NewBeginning,BlindLemonJefferson-SeeThatMyGraveIsKeptClean
ShannonNoll-NewBeginning,SisterRosettaTharpe-RockMe
ShannonNoll-NewBeginning,JohnBarry-TheDeathOfTimmons
ShannonNoll-NewBeginning,ThePriests-Benedictus
ShannonNoll-NewBeginning,MississippiSheiks-I'veGotBloodInMyEyesForYou
ShannonNoll-NewBeginning,HoratioLeeJenkins-DrunkerThanSatan
ShannonNoll-NewBeginning,Afi-SilverAndCold
ShannonNoll-NewBeginning,LosLobos-PhoneCall
ShannonNoll-NewBeginning,StoryOne-ComingUp
ShannonNoll-NewBeginning,IanGillan-Gethsemane(IOnlyWantToSay)
ShannonNoll-NewBeginning,LilyHolbrook-WelcomeToTheSlaughterhouse
ShannonNoll-NewBeginning,Shinedown-WhatAShame
ShannonNoll-NewBeginning,Innerpartysystem-WhatWeWillNeverKnow
ShannonNoll-NewBeginning,ChiddyBang-NothingOnWe
ShannonNoll-NewBeginning,SageFrancis-TheBestOfTimes
ShannonNoll-NewBeginning,KarlJenkins-Charge!
ShannonNoll-NewBeginning,Leadbelly-WhereDidYouSleepLastNight?
ShannonNoll-NewBeginning,Jazztronik-Phoenix
ShannonNoll-NewBeginning,MattElliott-TheDogBeneathTheSkin
ShannonNoll-NewBeginning,Tyler-TheCreator
ShannonNoll-NewBeginning,ArcticMonkeys-TheHellcatSpangledShalalala
ShannonNoll-NewBeginning,ViktorVaughn-Lickupon
ShannonNoll-NewBeginning,ThirdDay-MountainOfGod
ShannonNoll-NewBeginning,MatthewWest-TheMotions
ShannonNoll-NewBeginning,AngeloBadalamenti-MulhollandDrive
ShannonNoll-NewBeginning,AngeloBadalamenti-Diner
ShannonNoll-NewBeginning,JunkieXL-EvenInThisMoment
ShannonNoll-NewBeginning,DoloresO'Riordan-AveMaria
ShannonNoll-NewBeginning,Wu-TangClan-DuckSeazon
ShannonNoll-NewBeginning,CellaDwellas-MedinaStyle
ShannonNoll-NewBeginning,HarryGregson-Williams-ANarniaLullaby
ShannonNoll-NewBeginning,Flobots-Combat
ShannonNoll-NewBeginning,AntiPopConsortium-FluorescentBlack
ShannonNoll-NewBeginning,Doom-Ballskin
ShannonNoll-NewBeginning,SisterRosettaTharpe-DownByTheRiverside
ShannonNoll-NewBeginning,MastaAce-Acknowledge
ShannonNoll-NewBeginning,RootsManuva-EvilRabbit
ShannonNoll-NewBeginning,MarilynManson-TheSuckForYourSolution
ShannonNoll-NewBeginning,DavidByrne-Inexorable
ShannonNoll-NewBeginning,SkylarGrey-Invisible
BuffySainte-Marie-EyesOfAmber,NickelCreek-BestOfLuck
BuffySainte-Marie-EyesOfAmber,JeffreyFoucault-CrossOfFlowers
BuffySainte-Marie-EyesOfAmber,Eminem-Stan
BuffySainte-Marie-EyesOfAmber,PorterWagoner-TheRubberRoom
BuffySainte-Marie-EyesOfAmber,BenHarper-MoreThanSorry
BuffySainte-Marie-EyesOfAmber,ArthurRussell-HomeAwayFromHome
BuffySainte-Marie-EyesOfAmber,TheOnlyOnes-SomeoneWhoCares
BuffySainte-Marie-EyesOfAmber,RascalFlatts-Holes
BuffySainte-Marie-EyesOfAmber,Goldspot-TimeBomb
BuffySainte-Marie-EyesOfAmber,AnimalCollective-College
BuffySainte-Marie-EyesOfAmber,MobbDeep-TheStartOfYourEnding(41stSide)
BuffySainte-Marie-EyesOfAmber,LeAnnRimes-WhatICannotChange
BuffySainte-Marie-EyesOfAmber,StephenSondheim-OpeningTitle
BuffySainte-Marie-EyesOfAmber,TheEverybodyfields-LonelyAnywhere
BuffySainte-Marie-EyesOfAmber,TheEverybodyfields-BeMiner
BuffySainte-Marie-EyesOfAmber,JohnBarry-TheDeathOfTimmons
BuffySainte-Marie-EyesOfAmber,MississippiSheiks-I'veGotBloodInMyEyesForYou
BuffySainte-Marie-EyesOfAmber,Afi-SilverAndCold
BuffySainte-Marie-EyesOfAmber,LosLobos-PhoneCall
BuffySainte-Marie-EyesOfAmber,StoryOne-ComingUp
BuffySainte-Marie-EyesOfAmber,IanGillan-Gethsemane(IOnlyWantToSay)
BuffySainte-Marie-EyesOfAmber,LilyHolbrook-WelcomeToTheSlaughterhouse
BuffySainte-Marie-EyesOfAmber,Shinedown-WhatAShame
BuffySainte-Marie-EyesOfAmber,Innerpartysystem-WhatWeWillNeverKnow
BuffySainte-Marie-EyesOfAmber,ChiddyBang-NothingOnWe
BuffySainte-Marie-EyesOfAmber,SageFrancis-TheBestOfTimes
BuffySainte-Marie-EyesOfAmber,Leadbelly-WhereDidYouSleepLastNight?
BuffySainte-Marie-EyesOfAmber,Jazztronik-Phoenix
BuffySainte-Marie-EyesOfAmber,MattElliott-TheDogBeneathTheSkin
BuffySainte-Marie-EyesOfAmber,Tyler-TheCreator
BuffySainte-Marie-EyesOfAmber,ArcticMonkeys-TheHellcatSpangledShalalala
BuffySainte-Marie-EyesOfAmber,ViktorVaughn-Lickupon
BuffySainte-Marie-EyesOfAmber,ThirdDay-MountainOfGod
BuffySainte-Marie-EyesOfAmber,MatthewWest-TheMotions
BuffySainte-Marie-EyesOfAmber,AngeloBadalamenti-MulhollandDrive
BuffySainte-Marie-EyesOfAmber,AngeloBadalamenti-Diner
BuffySainte-Marie-EyesOfAmber,JunkieXL-EvenInThisMoment
BuffySainte-Marie-EyesOfAmber,DoloresO'Riordan-AveMaria
BuffySainte-Marie-EyesOfAmber,Wu-TangClan-DuckSeazon
